kodifikasi;nama_taman;lokasi;nama_kota;nama_kecamatan;nama_kelurahan;luas;jenis
22000001;Taman Rumah Dinas Jabatan Gubernur;-;Jakarta Pusat;Menteng;Menteng;3,184.00;Taman Bangunan Umum
22000006;Taman Dinas Teknis Jatibaru;Jl. Jatibaru;Jakarta Pusat;Tanah Abang;Kampung Bali;4,046.00;Taman Bangunan Umum
22000005;Taman Kantor Dinas Pertamanan dan Pemakaman;Jl. Aipda KS Tubun No 1;Jakarta Pusat;Tanah Abang;Petamburan;3,912.00;Taman Bangunan Umum
22000004;Taman Guest House;-;Jakarta Selatan;Setia Budi;Kuningan Timur;787;Taman Bangunan Umum
22000002;Taman Rumah Dinas Jabatan Wagub;-;Jakarta Selatan;Setia Budi;Kuningan Timur;797.45.00;Taman Bangunan Umum
22000003;Taman Rumah Dinas Jabatan Sekda;-;Jakarta Selatan;Setia Budi;Kuningan Timur;873;Taman Bangunan Umum
22000008;Taman Kampus PKP;Ciracas, Jakarta Timur;Jakarta Timur;Ciracas;Ciracas;62,192.00;Taman Bangunan Umum
22000007;Taman Jakarta Islamic Center;Koja, Jakarta Utara;Jakarta Utara;Koja;Lagoa;85,477.00;Taman Bangunan Umum
