nama_museum,alamat,wilayah
"Unit Pengelola Museum Seni Rupa (Menaungi Museum Tekstil, Museum Wayang dan Museum Keramik)","Museum Keramik Jl. Pos Kota No.2, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Jakarta Pusat
Museum Tekstil,"Jl. Aipda Ks Tubun No.2-4, Tanah Abang, Petamburan, DKI Jakarta 10260, Indonesia",Jakarta Pusat
Museum Wayang,Jl. Pintu Besar Utara No. 27 Jakarta Barat,Jakarta Barat
Unit Pengelola Museum Kesejarahan Jakarta (Menaungi Museum Joang 45 dan Museum MH Thamrin),"Jl. Taman Fatahillah No.1, Kota Jakarta Barat, DKI Jakarta 11110, Indonesia",Jakarta Barat
Museum Joang 45,"Jl. Menteng Raya No.31, RT.1/RW.10, Kb. Sirih, Menteng, Kota Jakarta Pusat, DKI Jakarta 10340, Indonesia",Jakarta Pusat
Museum MH Thamrin,"Jalan Kenari II No.15, Kenari, Senen.",Jakarta Pusat
Unit Pengelola Museum Prasasti,"Jl. Tanah Abang I No.1, Kelurahan Petojo Selatan, Kecamatan Gambir, Daerah Khusus Ibukota Jakarta 10160",Jakarta Pusat
Unit Pengelola Museum Kebaharian (Menaungi Museum Onrust),"Jl. Ps. Ikan No.1, RT.11/RW.4, Penjaringan, Kota Jakarta Utara, DKI Jakarta 14440, Indonesia",Jakarta Utara
Museum Onrust,"Pulau Onrust, Kabupaten Kepulauan Seribu",Kabupaten Kepulauan Seribu
